City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,butaritari,3.0707,172.7902,27.88,75,100,5.26,KI,1680489737
196,marzuq,14.4,46.4667,22.12,67,99,1.59,YE,1680489737
197,khanu woralaksaburi,16.0617,99.8606,34.58,34,26,0.67,TH,1680489738
198,mahebourg,-20.4081,57.7,25.16,88,75,4.63,MU,1680489738
199,bengkulu,-3.8004,102.2655,27.38,71,100,2.07,ID,1680489739
200,mount gambier,-37.8333,140.7667,19.93,42,72,1.52,AU,1680489740
201,bereda,43.2686,-7.5406,4.76,100,47,0.36,ES,1680489740
202,pringsewu,-5.3582,104.9744,29.87,59,63,0.73,ID,1680489740
203,honningsvag,70.9821,25.9704,-2.14,59,100,8.23,NO,1680489741
204,bollnas,61.3482,16.3946,-7.6,93,39,1.21,SE,1680489741
205,udon thani,17.3333,102.8333,34.94,69,6,1.54,TH,1680489742
206,ribeira grande,38.5167,-28.7,13.21,69,53,1.79,PT,1680489742
207,pitimbu,-7.4706,-34.8086,26.33,77,98,3.05,BR,1680489743
208,jiangyou,31.7667,104.7167,12.77,88,100,2.88,CN,1680489743
209,fria,10.4167,-13.5833,24.01,86,34,1.16,GN,1680489744
210,san pedro,14.35,121.0167,31.29,63,20,2.06,PH,1680489744
211,talisay,10.2447,123.8494,31.01,66,40,4.12,PH,1680489745
212,port elizabeth,-33.918,25.5701,19.16,87,0,9.77,ZA,1680489745
213,la asuncion,11.0333,-63.8628,25.85,89,11,7.72,VE,1680489746
214,zhanaozen,43.3,52.8,6.16,78,98,5.22,KZ,1680489747
215,zhigansk,66.7697,123.3711,-6.81,94,100,11.28,RU,1680489747
216,lompoc,34.6391,-120.4579,11.68,79,75,7.2,US,1680489748
217,heihe,50.2441,127.4902,11.32,53,100,7.67,CN,1680489748
218,nome,64.5011,-165.4064,-10.47,78,0,2.57,US,1680489748
219,guarapari,-20.6667,-40.4975,24.94,81,99,4.04,BR,1680489749
220,teguldet,57.3064,88.1667,-3.17,80,100,5.24,RU,1680489750
221,pangnirtung,66.1451,-65.7125,-17.18,67,100,3.24,CA,1680489750
222,phalia,32.4297,73.5775,19.8,71,99,2.21,PK,1680489750
223,nioro,13.35,-15.75,23.84,58,1,3.17,GM,1680489751
224,noumea,-22.2763,166.4572,31.99,99,54,5.25,NC,1680489727
225,bunia,1.5667,30.25,17.05,89,98,0.25,CD,1680489751
226,pacifica,37.6138,-122.4869,11.78,79,75,8.75,US,1680489678
227,leningradskiy,69.3833,178.4167,-20.72,86,100,5.04,RU,1680489752
228,marakkanam,12.2,79.95,29.01,74,8,5.17,IN,1680489753
229,kavieng,-2.5744,150.7967,29.67,66,93,4.35,PG,1680489754
230,nanortalik,60.1432,-45.2371,-0.92,87,100,3.22,GL,1680489754
231,dukat,62.55,155.55,-14.77,81,100,2.37,RU,1680489755
232,minggang,32.4586,114.0486,14.59,97,100,4.33,CN,1680489755
233,hasaki,35.7333,140.8333,16.22,54,26,9.18,JP,1680489755
234,nouakchott,18.0858,-15.9785,27.96,25,26,4.8,MR,1680489755
235,taoudenni,22.6783,-3.9836,26.73,7,0,3.6,ML,1680489756
236,mirnyy,62.5353,113.9611,-7.09,41,91,7.15,RU,1680489756
237,mount isa,-20.7333,139.5,31.87,23,10,4.63,AU,1680489757
238,kota belud,6.351,116.4305,29.67,61,93,2.21,MY,1680489757
239,padang,-0.9492,100.3543,27.03,79,100,1.16,ID,1680489474
240,castle rock,39.3722,-104.8561,13.68,23,4,4.02,US,1680489757
241,dunmore town,25.5,-76.65,24.81,81,3,3.84,BS,1680489758
242,okhotsk,59.3833,143.3,-5.45,68,2,7.71,RU,1680489758
243,ilulissat,69.2167,-51.1,-17.99,85,75,1.54,GL,1680489759
244,loa janan,-0.583,117.095,28.73,68,100,1.87,ID,1680489759
245,petropavl,54.8753,69.1628,-0.01,86,0,2.0,KZ,1680489759
246,soyo,-6.1349,12.3689,27.07,83,93,3.32,AO,1680489759
247,vitim,59.4511,112.5578,-6.42,84,90,5.03,RU,1680489760
248,angoram,-4.0625,144.0661,31.11,68,64,0.14,PG,1680489760
249,teguise,29.0605,-13.564,16.12,77,0,10.29,ES,1680489760
250,vila velha,-20.3297,-40.2925,24.97,73,0,3.09,BR,1680489761
251,yashkino,55.8736,85.4265,-4.47,74,55,5.74,RU,1680489761
252,voyvozh,62.892,54.9635,-2.63,95,100,2.88,RU,1680489762
253,brownsville,25.9018,-97.4975,25.0,92,75,5.66,US,1680489762
254,ust-tsilma,65.441,52.1498,-17.52,100,100,1.13,RU,1680489762
255,usinsk,65.9939,57.5281,-14.8,87,6,3.44,RU,1680489762
256,tutoia,-2.7619,-42.2744,23.85,92,100,2.49,BR,1680489763
257,buchanan,5.8808,-10.0467,25.91,90,55,2.25,LR,1680489763
258,port lincoln,-34.7333,135.8667,20.54,48,2,3.88,AU,1680489763
259,irricana,51.3237,-113.6048,1.99,94,100,1.3,CA,1680489764
260,san patricio,28.017,-97.5169,25.05,81,100,7.27,US,1680489764
261,hita,33.3167,130.9333,21.82,36,0,2.8,JP,1680489764
262,montrose,38.4166,-108.2673,7.67,45,3,7.79,US,1680489250
263,freeport,40.6576,-73.5832,7.99,36,0,4.63,US,1680489764
264,katsuura,35.1333,140.3,13.35,56,88,9.61,JP,1680489707
265,turukhansk,65.8167,87.9833,-4.31,89,100,5.15,RU,1680489765
266,antofagasta,-23.65,-70.4,21.6,86,29,2.11,CL,1680489668
267,lakatoro,-16.0999,167.4164,29.95,70,36,5.48,VU,1680489765
268,sitka,57.0531,-135.33,5.94,65,75,4.63,US,1680489765
269,mackenzie,55.2999,-123.1698,3.12,52,75,1.03,CA,1680489766
270,zhezkazgan,47.8043,67.7144,-0.01,40,0,7.0,KZ,1680489766
271,bonthe,7.5264,-12.505,25.77,89,1,3.6,SL,1680489766
272,tierralta,8.1736,-76.0592,25.51,91,97,2.95,CO,1680489767
273,ibotirama,-12.1853,-43.2206,25.04,48,71,0.2,BR,1680489767
274,les cayes,18.2,-73.75,23.37,83,3,1.86,HT,1680489767
275,karaton,-6.3424,106.1045,28.11,69,100,2.78,ID,1680489768
276,nyurba,63.2842,118.3319,-5.76,85,87,5.07,RU,1680489768
277,bahia blanca,-38.7196,-62.2724,17.68,78,67,0.89,AR,1680489768
278,bandar-e lengeh,26.5579,54.8807,17.06,59,0,4.12,IR,1680489768
279,manakara,-22.1333,48.0167,21.29,92,28,1.7,MG,1680489769
280,saint-francois,46.4154,3.9054,5.93,100,100,5.66,FR,1680489769
281,sidi ali,36.0998,0.4206,10.22,50,1,1.63,DZ,1680489769
282,ostrovnoy,68.0531,39.5131,-11.2,93,95,3.55,RU,1680489769
283,tiksi,71.6872,128.8694,-6.66,81,100,10.72,RU,1680489769
284,aykhal,66.0,111.5,-6.35,90,88,11.17,RU,1680489770
285,imbituba,-28.24,-48.6703,20.2,68,85,1.06,BR,1680489770
286,ormara,25.2088,64.6357,24.76,85,9,6.22,PK,1680489770
287,acapulco,16.8634,-99.8901,27.9,69,0,3.6,MX,1680489770
288,killybegs,54.6333,-8.45,6.72,86,100,6.06,IE,1680489771
289,morondava,-20.2833,44.2833,24.67,88,7,2.42,MG,1680489771
290,isiro,2.7739,27.616,19.14,96,69,1.11,CD,1680489581
291,kalmunai,7.4167,81.8167,27.54,78,18,2.84,LK,1680489771
292,muros,42.7762,-9.0603,8.24,87,84,2.79,ES,1680489771
293,alexandria,31.2156,29.9553,12.3,52,2,3.89,EG,1680489722
294,oistins,13.0667,-59.5333,26.05,73,75,8.75,BB,1680489772
295,bavleny,56.4,39.56,3.15,92,89,2.35,RU,1680489772
296,biltine,14.5333,20.9167,25.53,11,55,5.57,TD,1680489772
297,caravelas,-17.7125,-39.2481,24.04,88,80,4.15,BR,1680489773
298,mpophomeni,-29.5682,30.1862,14.56,76,51,2.8,ZA,1680489773
299,yumen,40.2833,97.2,4.47,30,100,8.91,CN,1680489773
300,comodoro rivadavia,-45.8667,-67.5,13.92,38,0,8.23,AR,1680489773
301,bambous virieux,-20.3428,57.7575,25.14,88,75,4.63,MU,1680489774
302,umm kaddadah,13.6017,26.6876,20.68,12,100,4.68,SD,1680489774
303,wolfsberg,46.8406,14.8442,5.73,81,79,1.84,AT,1680489774
304,isangel,-19.55,169.2667,29.79,70,15,1.68,VU,1680489774
305,flin flon,54.7682,-101.865,-17.96,99,96,1.97,CA,1680489775
306,dingle,10.9995,122.6711,31.28,51,54,4.21,PH,1680489775
307,marawi,7.9986,124.2928,26.09,70,90,2.49,PH,1680489775
308,nsanje,-16.92,35.262,19.98,99,96,1.36,MW,1680489775
309,san cristobal,7.7669,-72.225,21.1,91,65,1.0,VE,1680489776
310,dzhebariki-khaya,62.2167,135.8,-8.08,76,98,1.2,RU,1680489776
311,blagoyevo,63.3667,47.9167,-5.36,91,100,3.25,RU,1680489776
312,yaan,7.3833,8.5667,28.27,60,88,3.41,NG,1680489776
313,vanimo,-2.6741,141.3028,28.04,79,99,1.38,PG,1680489776
314,amalapuram,16.5833,82.0167,29.98,64,94,2.08,IN,1680489456
315,dawson creek,55.7666,-120.2362,-2.2,69,0,1.54,CA,1680489777
316,quchan,37.106,58.5095,3.69,65,100,2.57,IR,1680489777
317,thunder bay,48.4001,-89.3168,-0.05,93,100,2.57,CA,1680489777
318,hamilton,39.1834,-84.5333,9.86,67,0,5.66,US,1680489778
